hashtag,count,Category
#Baaghi2tomorrow,4463,Bollywood
#Urvashirautela,897,Bollywood
#BanitaSandhu,1437,Bollywood
#SyeRaaNarasimhaReddy,7161,Bollywood
#ThursdayThoughts,11254,Entertainment
#NTRBiopic,15695,Entertainment
#IEC2018,9090,General
#MalalaYousafzai,26950,General
#indianRailway,551,General
#SaferRoadsSaferYou,4165,General
#CauveryWaterManagement,164,General
#PinkyLalwani,627,General
ST Act,24754,General
#Indigo,1988,General
#WednesdayWisdom,13553,General
#BhimraoRamjiAmbedkar,2035,General
#BallTamperingScandal,15522,Sports
#DarrenLehmann,2861,Sports
#DavidWarner,2481,Sports
CJI Dipak Misra,28555,Politics
#TDPFormationDay ,9165,Politics
#SackMamataGovt,16134,
#NYIAS2018,6860,
#One plus 6,2294,
i Pad,7826,
OneLifeOneRupay,3009,
#ChandaKochhar,2151,
#MahavirJayanti,10355,
#GoodFriday,6871,
#CoolItDown,977,
Rs 18 170,231,
100 DAYS FOR DHONI BDAY,523,
#ISRO,8801,
#GSAT6A,2673,
#Leak_Hai_Kya,2630,
Class X,29071,
#CBSERetest,9051,
CBSEPaperLeak,10774,
Staff Selection Commission,2633,
#WeWantAskVirat,7915,
#March4Education,4068,
#GhaziabadThanksAkhilesh,10316,
39 Indians,10726,
#PolariseForVotes,1054,
